id,playerID,season,gamesPlayed,gamesStarted,wins,losses,otLosses,goalsAgainst,goalsAgainstAvg,savePctg,shotsAgainst,shutouts,created_at,updated_at
97,8475809,20212022,26,23,10,12,2,78,3.159103,0.911162,878,0,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
98,8475809,20212022,8,7,3,1,3,23,3.040094,0.913208,265,1,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
99,8475809,20222023,21,18,9,8,3,51,2.715735,0.915423,603,1,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
100,8475809,20232024,32,28,16,7,5,85,2.850542,0.899289,844,0,2024-06-11 02:47:22 UTC,2024-06-11 02:47:22 UTC
101,8478024,20202021,17,15,9,6,1,49,3.205,0.893,460,1,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
102,8478024,20212022,40,38,25,7,6,100,2.562752,0.919094,1236,2,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
103,8478024,20222023,56,56,26,22,7,167,3.111576,0.89582,1603,4,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
104,8478024,20232024,19,18,9,5,2,60,3.554093,0.892086,556,0,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
105,8479312,20192020,3,2,1,1,0,8,3.547235,0.89,73,0,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
106,8479312,20202021,6,5,1,3,1,18,3.331791,0.893,169,0,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
107,8479312,20212022,2,2,1,0,1,6,2.931198,0.907692,65,0,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
108,8479312,20222023,15,14,9,4,2,43,2.888545,0.913934,488,1,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
109,8479312,20232024,44,43,21,18,5,127,3.049403,0.904151,1325,2,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
110,8473503,20192020,25,24,14,6,2,61,2.655991,0.914,712,3,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
111,8473503,20202021,22,21,15,5,2,59,2.659455,0.906,627,0,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
112,8473503,20212022,48,46,19,17,10,129,2.895966,0.911034,1450,1,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
113,8473503,20222023,43,41,12,21,8,147,3.475177,0.889888,1335,3,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
114,8473503,20232024,25,20,11,8,2,70,3.10559,0.903714,727,2,2024-06-11 02:47:31 UTC,2024-06-11 02:47:31 UTC
115,8475789,20192020,20,20,8,10,2,57,2.846126,0.9,572,0,2024-06-11 02:47:39 UTC,2024-06-11 02:47:39 UTC
116,8475789,20192020,6,6,3,2,1,16,2.627617,0.915,189,0,2024-06-11 02:47:39 UTC,2024-06-11 02:47:39 UTC
117,8475789,20202021,22,22,17,3,2,46,2.148863,0.921,585,2,2024-06-11 02:47:39 UTC,2024-06-11 02:47:39 UTC
118,8475789,20212022,49,47,31,9,6,123,2.640052,0.913986,1430,5,2024-06-11 02:47:39 UTC,2024-06-11 02:47:39 UTC
119,8475789,20222023,36,34,21,9,4,115,3.405081,0.888023,1027,1,2024-06-11 02:47:39 UTC,2024-06-11 02:47:39 UTC
120,8475789,20232024,5,5,1,4,0,20,4.498032,0.872611,157,0,2024-06-11 02:47:39 UTC,2024-06-11 02:47:39 UTC
121,8475717,20192020,3,1,0,2,0,15,5.458405,0.797,74,0,2024-06-11 02:47:40 UTC,2024-06-11 02:47:40 UTC
122,8475717,20202021,6,4,2,1,1,16,3.162924,0.874,127,0,2024-06-11 02:47:40 UTC,2024-06-11 02:47:40 UTC
123,8475717,20212022,3,1,1,1,0,9,4.298222,0.875,72,0,2024-06-11 02:47:40 UTC,2024-06-11 02:47:40 UTC
124,8475717,20232024,23,20,12,7,1,53,2.453041,0.908778,581,1,2024-06-11 02:47:40 UTC,2024-06-11 02:47:40 UTC
125,8479973,20202021,1,1,1,0,0,5,5.026529,0.868,38,0,2024-06-11 02:47:40 UTC,2024-06-11 02:47:40 UTC
126,8479973,20212022,13,12,6,6,0,32,2.615269,0.912807,367,1,2024-06-11 02:47:40 UTC,2024-06-11 02:47:40 UTC
127,8479973,20222023,50,48,29,14,5,133,2.748802,0.914063,1536,1,2024-06-11 02:47:40 UTC,2024-06-11 02:47:40 UTC
128,8479973,20232024,59,57,36,16,5,147,2.623946,0.905344,1553,2,2024-06-11 02:47:40 UTC,2024-06-11 02:47:40 UTC
129,8475683,20192020,50,49,23,19,6,151,3.228815,0.9,1505,1,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
130,8475683,20202021,31,30,19,8,2,88,2.906742,0.906,935,0,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
131,8475683,20212022,54,53,39,7,3,137,2.666955,0.912516,1566,3,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
132,8475683,20222023,50,49,24,20,3,145,3.069469,0.901091,1466,1,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
133,8475683,20232024,58,58,36,17,4,135,2.372421,0.914773,1584,6,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
134,8476433,20212022,1,1,1,0,0,3,3.0,0.869565,23,0,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
135,8476433,20222023,1,1,1,0,0,2,2.0,0.935484,31,0,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
136,8476433,20222023,17,13,4,8,1,48,3.286358,0.884615,416,0,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
137,8476433,20232024,3,1,1,0,0,5,2.502433,0.921875,64,0,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
138,8481519,20202021,4,3,4,0,0,8,2.319961,0.919,99,0,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
139,8481519,20212022,32,27,19,9,3,81,2.792729,0.907534,876,2,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
140,8481519,20222023,21,19,9,8,3,62,3.182888,0.901116,627,1,2024-06-11 02:47:49 UTC,2024-06-11 02:47:49 UTC
